ALDER;M;K;TOTAL;Modul
0;127;127;254;60
1;128;135;263;60
2;141;150;291;60
3;158;137;295;60
4;149;133;282;60
5;184;176;360;60
6;170;175;345;60
7;223;193;416;60
8;198;206;404;60
9;208;186;394;60
10;221;194;415;60
11;213;192;405;60
12;193;227;420;60
13;206;198;404;60
14;229;213;442;60
15;235;227;462;60
16;241;231;472;60
17;251;230;481;60
18;241;243;484;60
19;231;236;467;60
20;225;198;423;60
21;174;154;328;60
22;171;129;300;60
23;161;104;265;60
24;149;110;259;60
25;139;115;254;60
26;157;108;265;60
27;154;154;308;60
28;133;121;254;60
29;144;140;284;60
30;125;129;254;60
31;137;127;264;60
32;136;141;277;60
33;156;169;325;60
34;146;147;293;60
35;159;172;331;60
36;171;148;319;60
37;192;187;379;60
38;186;172;358;60
39;200;209;409;60
40;212;221;433;60
41;224;235;459;60
42;223;240;463;60
43;256;269;525;60
44;243;282;525;60
45;256;231;487;60
46;238;240;478;60
47;229;230;459;60
48;262;293;555;60
49;304;333;637;60
50;367;344;711;60
51;329;359;688;60
52;303;326;629;60
53;321;345;666;60
54;347;313;660;60
55;311;334;645;60
56;339;344;683;60
57;321;315;636;60
58;327;340;667;60
59;341;327;668;60
60;327;318;645;60
61;328;353;681;60
62;338;329;667;60
63;368;360;728;60
64;342;305;647;60
65;355;355;710;60
66;347;323;670;60
67;326;341;667;60
68;360;360;720;60
69;359;354;713;60
70;387;373;760;60
71;343;311;654;60
72;247;300;547;60
73;285;259;544;60
74;227;237;464;60
75;207;219;426;60
76;222;201;423;60
77;163;228;391;60
78;157;167;324;60
79;148;191;339;60
80;146;160;306;60
81;116;174;290;60
82;111;153;264;60
83;98;142;240;60
84;88;116;204;60
85;79;128;207;60
86;66;77;143;60
87;49;99;148;60
88;44;97;141;60
89;52;77;129;60
90;44;70;114;60
91;30;67;97;60
92;26;59;85;60
93;7;33;40;60
94;9;28;37;60
95;7;29;36;60
96;3;14;17;60
97;5;11;16;60
98;1;14;15;60
99;0;8;8;60
0;1312;1239;2551;59
1;1224;1151;2375;59
2;1178;1057;2235;59
3;1195;1049;2244;59
4;1090;1057;2147;59
5;1181;1109;2290;59
6;1036;1007;2043;59
7;1023;1018;2041;59
8;1002;990;1992;59
9;992;883;1875;59
10;929;846;1775;59
11;850;754;1604;59
12;776;820;1596;59
13;833;813;1646;59
14;771;766;1537;59
15;781;758;1539;59
16;816;732;1548;59
17;822;806;1628;59
18;784;774;1558;59
19;876;869;1745;59
20;1097;1342;2439;59
21;1402;1763;3165;59
22;1484;1795;3279;59
23;1698;2040;3738;59
24;1719;2010;3729;59
25;1899;1954;3853;59
26;1791;1991;3782;59
27;1791;1842;3633;59
28;1668;1777;3445;59
29;1655;1709;3364;59
30;1618;1673;3291;59
31;1581;1572;3153;59
32;1515;1531;3046;59
33;1511;1514;3025;59
34;1554;1496;3050;59
35;1586;1561;3147;59
36;1546;1513;3059;59
37;1595;1502;3097;59
38;1468;1410;2878;59
39;1484;1393;2877;59
40;1598;1452;3050;59
41;1526;1427;2953;59
42;1342;1240;2582;59
43;1344;1247;2591;59
44;1273;1158;2431;59
45;1196;1052;2248;59
46;1188;1023;2211;59
47;1181;1037;2218;59
48;1165;1201;2366;59
49;1256;1239;2495;59
50;1151;1155;2306;59
51;1192;1076;2268;59
52;1161;1065;2226;59
53;1035;961;1996;59
54;978;1022;2000;59
55;1077;962;2039;59
56;949;916;1865;59
57;971;885;1856;59
58;863;833;1696;59
59;896;899;1795;59
60;891;880;1771;59
61;801;846;1647;59
62;798;842;1640;59
63;730;776;1506;59
64;802;823;1625;59
65;765;811;1576;59
66;725;765;1490;59
67;736;775;1511;59
68;808;851;1659;59
69;798;822;1620;59
70;713;801;1514;59
71;633;721;1354;59
72;607;697;1304;59
73;568;639;1207;59
74;450;503;953;59
75;380;530;910;59
76;338;474;812;59
77;337;466;803;59
78;327;425;752;59
79;275;353;628;59
80;257;377;634;59
81;232;321;553;59
82;209;297;506;59
83;173;299;472;59
84;153;287;440;59
85;125;275;400;59
86;117;255;372;59
87;122;245;367;59
88;84;207;291;59
89;75;175;250;59
90;52;142;194;59
91;53;151;204;59
92;30;142;172;59
93;32;81;113;59
94;23;75;98;59
95;16;50;66;59
96;10;39;49;59
97;5;35;40;59
98;2;15;17;59
99;5;12;17;59
0;844;803;1647;58
1;670;664;1334;58
2;589;558;1147;58
3;535;507;1042;58
4;530;473;1003;58
5;449;483;932;58
6;444;406;850;58
7;417;450;867;58
8;405;369;774;58
9;384;344;728;58
10;329;361;690;58
11;369;355;724;58
12;348;346;694;58
13;339;337;676;58
14;349;330;679;58
15;346;351;697;58
16;340;340;680;58
17;344;342;686;58
18;335;399;734;58
19;412;493;905;58
20;580;889;1469;58
21;903;1325;2228;58
22;1170;1582;2752;58
23;1408;1735;3143;58
24;1699;1986;3685;58
25;1745;2050;3795;58
26;1843;2119;3962;58
27;1836;2085;3921;58
