"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1",255,234,247,291,269,304,293,290,321,344,359,314,327,336,345,340,375,392,414,357,329,261,208,248,253,277,238,234,232,261,259,268,249,264,249,304,281,326,349,317,375,403,385,414,396,381,415,411,455,544,544,517,547,481,494,529,472,487,496,473,491,479,456,454,430,478,510,474,470,515,496,514,473,433,374,338,321,297,283,249,254,216,213,195,175,167,149,145,122,102,77,66,74,52,52,22,19,14,10,9
"2",328,306,272,379,375,395,403,455,371,417,425,450,426,418,399,393,437,451,438,457,417,368,357,325,312,319,333,286,334,334,334,319,324,367,384,348,407,402,399,424,405,439,465,498,475,428,479,452,502,526,495,531,504,465,491,521,482,491,464,497,500,484,465,473,455,436,421,460,472,463,414,412,398,347,321,299,343,279,256,263,233,236,199,203,186,161,154,147,143,104,105,83,64,74,36,43,28,13,9,9
"3",349,379,349,341,344,418,421,450,425,439,460,432,417,433,428,475,497,446,426,478,474,402,413,426,425,444,423,379,420,417,385,366,368,388,431,437,452,451,455,499,541,464,481,519,500,468,494,555,579,591,610,595,555,575,567,557,515,563,517,531,540,528,545,521,523,546,550,527,547,571,576,532,500,400,398,337,336,319,325,291,295,225,226,202,210,197,158,149,122,113,88,85,65,53,41,45,21,14,13,7
"4",170,205,192,196,220,204,233,238,229,275,236,276,234,283,284,272,287,258,299,244,197,157,127,134,155,144,135,166,181,168,206,188,173,172,225,214,259,254,243,235,265,263,296,288,292,273,312,298,326,361,319,314,301,371,302,325,247,277,302,288,296,305,296,301,300,302,280,317,318,317,333,307,270,248,203,185,182,157,163,150,144,126,123,105,101,85,91,70,66,39,49,42,45,26,27,16,13,3,12,3
"5",287,306,265,299,338,364,356,372,351,349,365,381,388,398,377,399,412,435,409,432,369,264,230,245,267,283,302,281,261,249,288,255,279,321,262,307,321,316,337,360,384,326,408,408,435,396,413,453,468,480,476,489,471,491,493,493,474,508,491,499,442,485,477,452,454,460,445,468,476,458,451,434,395,361,334,339,272,278,249,271,236,202,208,224,183,155,147,134,122,142,94,69,80,47,37,36,21,23,10,4
"6",312,362,329,395,415,388,385,431,416,397,458,434,437,422,502,494,509,516,471,485,389,300,308,288,261,272,333,305,325,337,343,338,305,334,361,351,376,402,434,425,461,449,436,466,460,485,477,493,509,592,549,541,562,503,502,532,511,496,511,509,456,438,454,446,451,449,432,431,473,481,457,410,398,354,344,310,299,268,285,255,229,229,192,181,175,184,150,137,127,100,105,85,51,49,49,36,27,12,9,10
"7",368,309,273,247,263,266,265,222,249,266,235,249,242,251,241,254,283,279,388,646,1117,1574,1690,1754,1459,1242,1004,796,671,621,517,484,452,410,334,375,376,363,357,335,358,337,344,350,334,323,332,352,373,448,394,414,377,368,368,319,323,396,346,356,334,339,316,317,301,307,325,335,356,353,323,295,301,286,286,260,242,220,235,211,188,187,201,161,135,124,156,135,110,100,111,98,63,58,50,37,30,15,9,12
"8",648,642,678,747,670,751,749,772,781,798,774,781,761,716,752,782,717,700,734,699,656,579,534,590,561,573,584,590,555,597,625,651,584,675,716,736,718,762,805,811,937,828,769,859,824,861,769,847,895,924,930,898,908,884,822,824,822,806,828,773,785,752,747,721,724,751,701,763,804,749,740,739,603,622,506,483,472,436,375,398,361,309,267,251,211,181,188,192,152,130,116,104,80,55,56,42,23,21,16,10
"9",453,459,447,498,561,557,536,579,580,596,600,584,593,563,611,647,591,652,657,630,545,423,344,326,375,357,386,398,413,395,401,449,453,460,540,532,544,586,610,611,688,652,695,697,703,655,680,704,730,774,806,722,775,700,711,699,656,695,685,700,691,719,674,746,668,651,690,700,709,751,715,599,592,518,482,457,402,437,361,336,316,289,269,238,223,199,184,161,158,133,120,111,77,59,59,42,21,27,13,11
"10",707,730,731,797,854,925,870,965,940,960,899,991,951,910,930,969,981,997,982,1008,951,850,744,709,766,738,713,737,707,728,738,721,765,789,827,842,874,934,1003,1006,1186,1033,1092,1128,1126,1132,1078,1009,1065,1193,1144,1061,1045,989,987,966,909,884,923,851,865,884,873,878,894,953,829,877,927,943,929,855,793,736,665,625,553,526,509,512,432,353,364,318,299,292,267,223,211,193,149,144,107,83,76,67,35,30,22,22
"11",407,435,414,525,515,532,524,589,553,591,550,578,551,545,539,498,540,528,594,639,589,477,428,418,371,402,421,421,449,407,442,437,426,406,482,526,562,525,562,534,591,634,587,642,584,560,601,577,656,709,659,635,582,613,579,521,567,595,542,571,542,565,578,474,547,530,472,534,517,557,525,477,432,423,396,353,341,322,295,277,261,269,201,192,208,176,160,161,141,105,115,85,73,53,57,36,23,15,10,9
"12",210,219,236,245,235,296,269,305,306,323,315,299,276,321,292,355,369,333,341,329,310,238,195,225,196,206,241,226,264,229,226,252,194,242,215,251,258,260,274,267,306,316,333,337,315,345,301,336,363,424,351,411,359,390,351,370,397,397,367,349,361,357,353,347,348,322,313,323,349,351,337,345,264,284,265,231,215,216,210,195,187,137,175,144,120,106,114,113,100,85,68,57,60,36,26,24,13,10,5,7
"13",420,401,404,423,500,465,484,538,560,517,533,537,561,561,570,599,566,652,644,639,584,476,430,481,436,405,406,396,452,390,393,433,406,443,449,483,488,460,529,540,578,546,559,602,552,578,602,564,638,654,667,684,683,590,627,624,639,591,602,665,615,578,630,601,536,595,573,597,640,654,588,505,493,478,395,388,380,356,337,334,292,252,259,193,214,214,189,165,139,103,91,100,66,60,32,32,29,21,8,7
"14",336,373,393,351,418,453,447,483,507,538,526,556,539,514,534,528,547,592,564,492,436,320,269,268,279,280,324,318,314,333,334,328,364,352,380,427,450,459,483,448,485,450,542,470,551,523,482,537,542,598,569,608,596,536,530,543,498,542,534,529,483,476,554,467,474,478,487,505,506,460,471,453,385,363,351,322,311,300,282,300,286,267,214,201,159,179,146,140,114,136,98,89,65,48,42,37,25,19,10,10
"15",623,642,681,639,747,727,738,814,788,763,845,775,784,792,820,835,819,840,834,816,820,804,695,716,709,659,644,679,648,663,686,666,659,691,759,698,776,773,805,839,887,832,876,922,874,838,875,845,912,890,932,938,958,886,841,794,816,805,781,806,805,772,805,758,706,738,730,735,795,816,802,730,647,617,528,503,454,462,447,391,369,370,293,298,278,232,232,180,185,165,133,113,84,72,64,50,39,25,23,12
"16",713,740,782,841,906,893,1010,943,1019,1035,1000,999,1024,950,990,983,992,990,939,941,807,615,569,536,516,536,547,528,559,632,718,680,744,752,764,840,913,942,964,1059,1156,1078,1110,1221,1142,1090,998,1102,1095,1232,1164,1064,1083,975,906,939,937,872,887,912,876,924,866,910,865,885,899,889,930,931,869,793,727,647,548,541,495,450,471,432,356,360,275,274,244,234,203,169,152,156,144,111,88,72,58,48,34,27,20,13
"17",1420,1321,1294,1300,1264,1297,1265,1211,1211,1215,1267,1282,1191,1195,1323,1231,1245,1359,1342,1512,2070,2571,2464,2505,2342,2168,1976,1821,1709,1545,1493,1438,1389,1387,1324,1324,1348,1263,1190,1273,1362,1441,1395,1525,1439,1361,1440,1454,1466,1543,1522,1516,1468,1384,1393,1437,1349,1408,1304,1291,1295,1188,1269,1218,1152,1210,1126,1171,1220,1134,1153,1069,944,867,766,756,692,662,700,587,503,524,449,454,417,372,345,314,269,246,219,198,166,133,114,90,40,41,29,23
"18",435,300,239,186,183,153,141,128,122,122,90,114,120,95,96,123,127,135,186,290,898,1786,2189,2310,2183,2002,1774,1465,1195,982,793,672,588,492,408,402,324,291,258,284,256,251,210,221,241,218,211,209,214,243,235,226,229,238,253,243,211,221,237,231,240,239,212,258,207,241,187,201,210,247,173,165,139,154,131,146,152,121,117,108,115,90,95,91,79,88,100,86,89,95,75,60,49,52,34,39,19,16,8,7
"19",556,593,602,621,613,697,699,657,696,705,683,650,654,646,676,683,675,618,694,791,728,680,658,650,584,569,555,606,578,551,573,501,589,652,635,680,663,686,744,735,771,815,753,781,777,740,730,778,758,850,794,873,814,754,728,703,663,712,686,671,686,681,685,660,695,699,698,700,711,730,685,621,611,511,462,409,410,435,377,349,312,263,268,248,207,232,174,186,165,140,128,110,102,65,64,48,32,19,17,10
"20",271,265,274,301,288,311,357,370,374,386,397,402,389,385,407,426,388,359,342,307,292,174,180,162,156,197,220,219,233,240,250,258,301,316,268,338,369,379,424,395,385,414,420,388,403,427,417,395,431,492,463,435,404,400,379,399,354,397,340,387,366,344,340,363,323,343,304,323,358,365,314,319,279,267,220,240,238,200,194,180,180,169,130,123,106,129,93,102,110,91,80,66,68,39,33,25,11,13,4,6
"21",579,561,572,605,649,770,682,728,700,729,701,727,736,746,715,826,778,739,745,790,735,628,566,529,541,585,615,594,587,622,610,611,567,592,614,690,714,765,719,769,817,839,816,828,817,789,751,874,850,938,874,895,868,842,798,757,717,691,665,721,694,643,676,656,681,670,589,728,731,703,717,632,569,592,487,491,411,390,413,366,328,307,267,232,204,232,183,171,155,170,129,103,76,78,48,50,26,15,10,13
"22",409,383,460,422,452,571,529,532,523,535,506,551,566,541,554,599,611,588,602,541,434,357,283,295,315,350,333,352,364,430,390,429,416,390,436,489,468,492,515,500,580,535,585,586,585,628,612,630,658,717,636,652,709,644,627,623,586,593,616,613,584,607,567,576,516,546,575,584,570,612,557,514,468,454,437,423,359,341,348,311,296,284,266,230,206,193,175,145,96,117,103,103,59,53,45,34,34,17,10,10
"23",412,426,459,396,416,457,411,453,418,451,394,456,459,453,453,496,463,507,555,552,619,637,659,682,622,618,538,492,492,507,483,443,430,412,465,472,422,446,452,475,525,504,527,485,524,521,529,494,604,603,608,612,601,545,558,539,518,555,571,522,524,544,547,470,457,501,486,450,512,510,490,457,435,386,375,319,296,326,302,264,258,232,212,201,169,166,157,139,137,98,85,83,68,51,29,37,26,19,10,5
"24",669,615,651,680,676,786,759,787,728,740,781,784,819,714,762,754,782,802,882,923,851,795,745,771,698,763,745,735,668,699,645,670,712,665,723,753,743,750,834,841,919,909,877,1001,870,876,829,888,962,1029,964,943,876,852,775,867,766,780,813,817,811,741,770,696,717,707,739,745,811,893,731,779,692,651,596,532,468,447,424,382,364,353,316,313,289,286,210,210,178,215,132,105,107,71,73,40,27,15,15,11
"25",361,330,375,386,409,475,448,512,471,467,491,483,467,486,517,500,492,522,494,456,435,380,350,331,293,360,331,391,320,371,367,380,384,388,395,403,431,496,475,465,512,532,516,569,523,501,509,490,529,583,584,623,589,556,523,523,500,504,527,457,470,462,470,470,444,407,434,468,496,506,448,433,386,369,378,321,302,328,301,256,263,221,224,168,181,161,123,131,137,98,100,76,61,49,42,36,24,18,8,13
"26",206,218,186,236,249,250,263,288,292,262,271,280,279,292,286,282,306,304,295,286,245,202,170,169,169,198,176,180,215,192,196,206,234,208,220,235,266,279,262,243,324,277,266,323,323,285,259,311,292,337,360,292,336,323,309,320,302,328,325,355,317,308,346,314,282,298,265,280,292,287,283,215,247,241,198,241,210,175,201,158,169,146,141,116,111,114,90,104,77,56,46,54,35,40,22,28,9,8,4,5
"27",141,163,154,175,161,177,175,206,188,185,193,193,192,206,236,233,255,236,272,226,173,143,124,138,126,146,163,153,146,147,162,166,137,160,144,161,176,171,150,157,209,213,180,209,220,199,228,214,255,304,267,284,305,320,316,276,290,273,298,296,247,286,276,259,235,244,227,238,300,253,239,212,204,188,176,167,135,157,178,144,149,150,118,106,103,84,88,93,78,70,66,61,47,24,22,22,10,5,3,0
"28",326,328,367,365,359,372,430,413,431,442,483,496,485,474,478,499,497,520,475,438,359,346,266,297,297,345,310,324,342,309,368,324,349,336,404,401,444,408,419,433,474,476,486,488,514,513,533,514,654,586,581,550,599,574,564,592,499,550,542,548,506,554,547,539,552,466,535,519,503,543,572,480,427,434,374,357,355,329,332,271,254,241,223,205,197,153,155,149,116,103,86,86,80,49,52,31,21,8,6,4
"29",280,302,359,341,355,407,381,394,406,394,419,449,443,456,434,458,459,496,534,476,438,398,318,310,322,337,355,317,310,290,343,333,326,335,341,362,373,408,412,419,455,455,460,551,495,532,543,509,602,590,582,540,564,550,495,518,527,473,485,492,493,497,484,456,463,498,509,486,544,540,554,561,458,481,419,404,380,413,362,319,260,300,219,231,215,184,170,151,146,121,114,84,65,58,49,30,16,11,12,8
"30",243,263,271,312,329,333,359,423,435,393,419,424,459,418,429,441,454,428,457,366,306,269,229,211,200,226,246,209,221,245,256,280,273,298,324,332,364,411,417,453,494,480,500,498,499,465,506,490,540,594,534,525,531,486,493,469,490,466,450,438,460,481,464,439,436,430,463,494,488,463,481,434,403,335,329,319,281,269,267,227,198,219,176,161,167,137,135,138,114,108,80,69,56,41,45,28,22,16,8,5
"31",313,246,219,214,190,205,207,204,185,189,170,144,125,140,139,179,171,180,260,429,806,1183,1338,1359,1249,1104,894,713,617,522,415,415,346,285,273,274,270,259,246,247,272,265,269,245,252,235,208,244,267,301,287,277,282,262,247,256,221,214,248,240,220,219,223,211,197,200,212,190,192,192,189,207,154,149,132,131,136,133,125,102,114,105,94,91,89,80,72,65,70,70,61,59,53,35,30,27,16,17,8,9
"32",829,768,779,745,817,853,852,901,871,878,841,871,864,814,866,885,848,837,966,926,1091,1143,1002,1007,956,909,866,899,853,821,810,818,748,734,778,859,825,961,868,943,979,931,1047,1076,1034,978,926,977,990,1074,1128,1005,952,929,905,868,920,929,887,899,934,894,836,802,792,854,811,924,943,911,929,825,795,698,631,598,586,534,544,440,442,383,391,358,311,312,276,248,197,200,186,158,116,85,72,61,26,33,23,11
"33",279,270,309,290,324,338,344,374,382,414,393,410,440,435,459,472,492,462,398,407,337,306,234,188,256,214,229,244,272,256,262,285,267,288,333,388,342,390,381,405,462,451,425,462,498,477,496,513,547,575,613,547,558,486,554,537,498,522,497,505,494,501,504,460,447,484,512,490,563,549,508,455,473,409,345,302,318,302,282,249,242,242,204,238,172,159,151,161,130,104,98,84,97,64,52,29,34,17,8,12
"34",381,392,425,471,432,510,531,576,555,598,575,617,564,540,591,628,632,589,661,555,466,352,349,326,329,335,336,364,372,421,388,437,382,458,441,516,508,559,525,576,690,625,610,662,704,626,650,684,735,777,716,746,753,701,622,626,608,632,656,667,660,564,581,565,609,621,587,665,685,645,642,645,526,494,493,446,403,364,396,359,344,317,259,269,214,213,205,195,193,130,138,115,75,63,59,46,25,18,16,16
