"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1",242,242,254,253,288,296,340,349,367,350,358,361,342,338,367,376,390,401,434,427,412,343,326,299,310,294,289,288,303,270,281,294,287,314,284,286,340,325,316,348,368,399,381,418,417,410,425,431,520,554,538,540,548,474,556,553,489,482,470,487,460,481,524,454,426,472,488,476,512,529,498,482,430,418,340,276,274,259,238,235,187,208,161,118,117,111,95,93,71,73,53,25,21,19,17,7,11,5,1,2
"2",364,362,340,355,350,415,412,440,425,450,479,449,438,478,455,500,484,472,439,507,441,427,371,376,373,355,382,354,378,323,344,332,348,359,353,387,384,417,386,464,462,483,451,473,470,466,458,471,532,536,526,540,537,512,472,490,483,447,477,479,490,438,425,430,432,454,452,509,473,486,439,391,377,320,298,304,258,240,226,215,208,189,168,141,133,120,112,79,73,80,52,44,31,20,19,7,10,6,5,2
"3",378,394,350,399,414,427,444,475,429,420,475,459,455,458,467,476,487,524,504,547,495,491,506,482,479,445,467,466,484,463,442,434,419,444,433,442,455,502,451,486,531,527,506,545,526,497,544,564,613,634,605,600,634,604,563,545,533,524,537,548,546,511,515,526,503,533,511,563,541,595,571,489,427,416,352,330,272,318,263,277,230,209,212,154,157,118,111,95,76,88,46,53,32,21,33,15,10,2,4,1
"4",194,183,195,244,235,235,303,240,250,266,309,261,285,280,273,309,300,292,315,281,246,229,166,211,169,173,169,180,186,182,203,179,185,207,190,200,238,262,275,273,295,272,275,295,280,297,298,286,309,336,349,340,321,331,325,290,289,343,278,319,274,252,307,287,298,328,291,308,348,352,314,311,277,228,234,202,171,152,131,137,143,96,90,83,76,62,56,36,48,39,25,19,18,13,7,7,6,3,2,1
"5",287,254,304,327,331,357,357,390,374,402,392,375,411,399,405,423,450,461,487,467,442,377,349,310,310,314,307,311,339,360,298,301,303,299,266,360,341,322,371,358,402,362,379,441,391,412,457,443,470,491,536,476,502,484,510,499,479,485,503,473,487,487,489,465,520,477,503,517,474,494,474,431,366,362,297,299,256,256,215,205,200,170,144,149,123,103,95,79,53,67,51,36,25,17,13,14,6,2,1,1
"6",334,376,375,392,354,414,405,476,458,454,457,478,471,496,477,505,499,472,539,517,481,427,385,398,345,377,348,400,360,368,373,334,357,399,379,409,405,407,403,432,485,449,480,491,524,507,465,548,557,586,546,617,565,565,540,520,489,529,502,458,498,483,487,463,503,469,452,485,492,464,453,446,408,349,281,294,269,268,230,245,202,173,189,142,129,105,106,88,70,69,57,29,27,20,19,15,8,8,5,1
"7",384,317,289,288,303,263,256,277,266,260,259,249,244,249,267,269,244,278,363,544,992,1573,1726,1782,1533,1457,1299,1088,881,815,755,621,515,542,448,473,460,392,393,412,431,396,364,356,363,373,360,351,361,458,400,377,375,343,355,351,286,343,322,348,272,343,308,302,294,261,274,288,299,321,323,273,236,192,195,196,181,175,160,140,141,115,126,85,103,77,70,73,54,53,40,28,27,18,13,13,6,3,1,1
"8",717,651,726,726,780,795,782,916,777,808,852,783,781,802,788,820,749,866,787,813,830,803,686,671,618,629,629,518,660,634,652,691,619,698,715,717,769,781,773,840,819,814,818,908,842,833,796,893,861,986,953,910,910,855,823,847,805,816,732,819,783,775,757,729,747,711,766,770,757,737,793,680,584,517,498,443,379,390,383,317,270,243,251,204,200,147,141,119,84,69,65,47,34,22,17,10,4,8,3,0
"9",456,431,539,523,539,653,622,613,652,630,619,615,638,620,649,668,656,697,766,745,693,564,520,535,435,407,418,447,422,457,435,426,470,471,492,508,537,577,600,603,675,725,651,707,691,641,699,677,750,815,787,748,778,725,726,668,641,696,676,699,679,724,691,660,682,715,685,707,741,748,714,656,581,495,446,453,387,356,352,293,274,208,247,195,174,155,128,127,84,73,55,45,23,19,20,13,13,4,4,3
"10",765,766,767,850,851,885,1000,1011,963,998,982,984,984,957,982,1027,1050,996,1052,1067,1032,896,875,780,780,826,718,766,751,779,776,745,776,796,818,843,903,987,972,1031,1129,1119,1143,1179,1088,1114,1075,1129,1114,1233,1197,1151,1085,1034,1001,1011,915,910,907,922,892,863,851,831,814,853,928,921,984,927,856,843,755,702,624,536,467,474,441,385,321,333,242,241,206,197,175,156,127,87,82,76,48,35,27,18,11,8,2,5
"11",451,477,460,510,524,569,595,611,592,618,547,613,562,579,546,626,604,620,590,658,646,516,482,482,453,466,448,442,492,457,446,485,426,495,482,494,484,581,586,592,590,551,575,622,620,572,583,592,646,731,665,671,633,600,605,618,586,590,586,536,590,530,583,512,539,525,525,491,540,552,518,452,391,407,321,313,304,273,264,239,195,187,183,128,132,125,107,101,71,67,48,48,29,20,10,8,4,8,2,2
