"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1",497,476,501,544,557,600,633,639,688,694,717,675,669,674,712,716,765,793,848,784,741,604,534,547,563,571,527,522,535,531,540,562,536,578,533,590,621,651,665,665,743,802,766,832,813,791,840,842,975,1098,1082,1057,1095,955,1050,1082,961,969,966,960,951,960,980,908,856,950,998,950,982,1044,994,996,903,851,714,614,595,556,521,484,441,424,374,313,292,278,244,238,193,175,130,91,95,71,69,29,30,19,11,11
"2",692,668,612,734,725,810,815,895,796,867,904,899,864,896,854,893,921,923,877,964,858,795,728,701,685,674,715,640,712,657,678,651,672,726,737,735,791,819,785,888,867,922,916,971,945,894,937,923,1034,1062,1021,1071,1041,977,963,1011,965,938,941,976,990,922,890,903,887,890,873,969,945,949,853,803,775,667,619,603,601,519,482,478,441,425,367,344,319,281,266,226,216,184,157,127,95,94,55,50,38,19,14,11
"3",727,773,699,740,758,845,865,925,854,859,935,891,872,891,895,951,984,970,930,1025,969,893,919,908,904,889,890,845,904,880,827,800,787,832,864,879,907,953,906,985,1072,991,987,1064,1026,965,1038,1119,1192,1225,1215,1195,1189,1179,1130,1102,1048,1087,1054,1079,1086,1039,1060,1047,1026,1079,1061,1090,1088,1166,1147,1021,927,816,750,667,608,637,588,568,525,434,438,356,367,315,269,244,198,201,134,138,97,74,74,60,31,16,17,8
"4",364,388,387,440,455,439,536,478,479,541,545,537,519,563,557,581,587,550,614,525,443,386,293,345,324,317,304,346,367,350,409,367,358,379,415,414,497,516,518,508,560,535,571,583,572,570,610,584,635,697,668,654,622,702,627,615,536,620,580,607,570,557,603,588,598,630,571,625,666,669,647,618,547,476,437,387,353,309,294,287,287,222,213,188,177,147,147,106,114,78,74,61,63,39,34,23,19,6,14,4
"5",574,560,569,626,669,721,713,762,725,751,757,756,799,797,782,822,862,896,896,899,811,641,579,555,577,597,609,592,600,609,586,556,582,620,528,667,662,638,708,718,786,688,787,849,826,808,870,896,938,971,1012,965,973,975,1003,992,953,993,994,972,929,972,966,917,974,937,948,985,950,952,925,865,761,723,631,638,528,534,464,476,436,372,352,373,306,258,242,213,175,209,145,105,105,64,50,50,27,25,11,5
"6",646,738,704,787,769,802,790,907,874,851,915,912,908,918,979,999,1008,988,1010,1002,870,727,693,686,606,649,681,705,685,705,716,672,662,733,740,760,781,809,837,857,946,898,916,957,984,992,942,1041,1066,1178,1095,1158,1127,1068,1042,1052,1000,1025,1013,967,954,921,941,909,954,918,884,916,965,945,910,856,806,703,625,604,568,536,515,500,431,402,381,323,304,289,256,225,197,169,162,114,78,69,68,51,35,20,14,11
"7",752,626,562,535,566,529,521,499,515,526,494,498,486,500,508,523,527,557,751,1190,2109,3147,3416,3536,2992,2699,2303,1884,1552,1436,1272,1105,967,952,782,848,836,755,750,747,789,733,708,706,697,696,692,703,734,906,794,791,752,711,723,670,609,739,668,704,606,682,624,619,595,568,599,623,655,674,646,568,537,478,481,456,423,395,395,351,329,302,327,246,238,201,226,208,164,153,151,126,90,76,63,50,36,18,10,13
"8",1365,1293,1404,1473,1450,1546,1531,1688,1558,1606,1626,1564,1542,1518,1540,1602,1466,1566,1521,1512,1486,1382,1220,1261,1179,1202,1213,1108,1215,1231,1277,1342,1203,1373,1431,1453,1487,1543,1578,1651,1756,1642,1587,1767,1666,1694,1565,1740,1756,1910,1883,1808,1818,1739,1645,1671,1627,1622,1560,1592,1568,1527,1504,1450,1471,1462,1467,1533,1561,1486,1533,1419,1187,1139,1004,926,851,826,758,715,631,552,518,455,411,328,329,311,236,199,181,151,114,77,73,52,27,29,19,10
"9",909,890,986,1021,1100,1210,1158,1192,1232,1226,1219,1199,1231,1183,1260,1315,1247,1349,1423,1375,1238,987,864,861,810,764,804,845,835,852,836,875,923,931,1032,1040,1081,1163,1210,1214,1363,1377,1346,1404,1394,1296,1379,1381,1480,1589,1593,1470,1553,1425,1437,1367,1297,1391,1361,1399,1370,1443,1365,1406,1350,1366,1375,1407,1450,1499,1429,1255,1173,1013,928,910,789,793,713,629,590,497,516,433,397,354,312,288,242,206,175,156,100,78,79,55,34,31,17,14
"10",1472,1496,1498,1647,1705,1810,1870,1976,1903,1958,1881,1975,1935,1867,1912,1996,2031,1993,2034,2075,1983,1746,1619,1489,1546,1564,1431,1503,1458,1507,1514,1466,1541,1585,1645,1685,1777,1921,1975,2037,2315,2152,2235,2307,2214,2246,2153,2138,2179,2426,2341,2212,2130,2023,1988,1977,1824,1794,1830,1773,1757,1747,1724,1709,1708,1806,1757,1798,1911,1870,1785,1698,1548,1438,1289,1161,1020,1000,950,897,753,686,606,559,505,489,442,379,338,280,231,220,155,118,103,85,46,38,24,27
"11",858,912,874,1035,1039,1101,1119,1200,1145,1209,1097,1191,1113,1124,1085,1124,1144,1148,1184,1297,1235,993,910,900,824,868,869,863,941,864,888,922,852,901,964,1020,1046,1106,1148,1126,1181,1185,1162,1264,1204,1132,1184,1169,1302,1440,1324,1306,1215,1213,1184,1139,1153,1185,1128,1107,1132,1095,1161,986,1086,1055,997,1025,1057,1109,1043,929,823,830,717,666,645,595,559,516,456,456,384,320,340,301,267,262,212,172,163,133,102,73,67,44,27,23,12,11
